category,year_month,n,k,prev,feature
white-supremacist,2021-04-01,1944,64,0.03292181069958848,Existential Threat
white-supremacist,2021-05-01,3830,80,0.020887728459530026,Existential Threat
white-supremacist,2021-06-01,2462,79,0.032087733549959384,Existential Threat
white-supremacist,2021-07-01,1498,71,0.04739652870493992,Existential Threat
white-supremacist,2021-08-01,1598,84,0.052565707133917394,Existential Threat
white-supremacist,2021-09-01,1770,60,0.03389830508474576,Existential Threat
white-supremacist,2021-10-01,1638,63,0.038461538461538464,Existential Threat
white-supremacist,2021-11-01,2454,84,0.034229828850855744,Existential Threat
white-supremacist,2021-12-01,2221,76,0.034218820351193155,Existential Threat
white-supremacist,2022-01-01,2049,58,0.028306490971205467,Existential Threat
white-supremacist,2022-02-01,1647,33,0.020036429872495445,Existential Threat
white-supremacist,2022-03-01,1937,65,0.03355704697986577,Existential Threat
white-supremacist,2022-04-01,1502,41,0.02729693741677763,Existential Threat
white-supremacist,2022-05-01,2712,39,0.014380530973451327,Existential Threat
white-supremacist,2022-06-01,9349,93,0.009947587977323778,Existential Threat
white-supremacist,2022-07-01,5918,62,0.010476512335248395,Existential Threat
white-supremacist,2022-08-01,5915,59,0.009974640743871513,Existential Threat
white-supremacist,2022-09-01,4387,64,0.014588557100524277,Existential Threat
white-supremacist,2022-10-01,7552,80,0.01059322033898305,Existential Threat
white-supremacist,2022-11-01,7620,64,0.008398950131233596,Existential Threat
white-supremacist,2022-12-01,8049,50,0.006211951795254069,Existential Threat
white-supremacist,2023-01-01,11728,79,0.006736016371077762,Existential Threat
white-supremacist,2023-02-01,9086,62,0.0068236847897864845,Existential Threat
white-supremacist,2023-03-01,8760,81,0.009246575342465754,Existential Threat
white-supremacist,2023-04-01,7765,33,0.004249839021249195,Existential Threat
white-supremacist,2023-05-01,8631,43,0.004982041478391843,Existential Threat
white-supremacist,2023-06-01,10899,57,0.005229837599779796,Existential Threat
white-supremacist,2023-07-01,21418,98,0.00457559062470819,Existential Threat
white-supremacist,2023-08-01,22276,70,0.003142395403124439,Existential Threat
white-supremacist,2023-09-01,22829,72,0.0031538832187130404,Existential Threat
white-supremacist,2023-10-01,19700,84,0.004263959390862944,Existential Threat
white-supremacist,2023-11-01,19746,68,0.003443735440089132,Existential Threat
white-supremacist,2023-12-01,17594,48,0.002728202796407866,Existential Threat
white-supremacist,2024-01-01,12950,51,0.003938223938223938,Existential Threat
white-supremacist,2024-02-01,16553,69,0.004168428683622304,Existential Threat
white-supremacist,2024-03-01,23299,78,0.0033477831666595135,Existential Threat
white-supremacist,2024-04-01,14647,74,0.005052229125418174,Existential Threat
white-supremacist,2024-05-01,1172,9,0.007679180887372013,Existential Threat
white-supremacist,2024-06-01,9,0,0,Existential Threat
white-supremacist,2024-07-01,5,3,0.6,Existential Threat
white-supremacist,2024-08-01,48,3,0.0625,Existential Threat
764,2021-08-01,1,1,1,Outgroup Othering
764,2021-09-01,1,0,0,Outgroup Othering
764,2021-10-01,3,0,0,Outgroup Othering
764,2021-11-01,25,5,0.2,Outgroup Othering
764,2021-12-01,48,14,0.2916666666666667,Outgroup Othering
764,2022-01-01,164,13,0.07926829268292683,Outgroup Othering
764,2022-02-01,79,11,0.13924050632911392,Outgroup Othering
764,2022-03-01,25,2,0.08,Outgroup Othering
764,2022-04-01,26988,1868,0.0692159478286646,Outgroup Othering
764,2022-05-01,12855,1344,0.10455075845974329,Outgroup Othering
764,2022-06-01,54200,4192,0.07734317343173432,Outgroup Othering
764,2022-07-01,35864,2810,0.07835155030113763,Outgroup Othering
764,2022-08-01,18875,1453,0.07698013245033113,Outgroup Othering
764,2022-09-01,5692,435,0.0764230498945889,Outgroup Othering
764,2022-10-01,3523,314,0.08912858359352824,Outgroup Othering
764,2022-11-01,1747,185,0.10589582140812821,Outgroup Othering
764,2022-12-01,3925,554,0.14114649681528663,Outgroup Othering
764,2023-01-01,439,33,0.07517084282460136,Outgroup Othering
764,2023-02-01,1473,127,0.08621860149355058,Outgroup Othering
764,2023-03-01,46581,3727,0.08001116334986368,Outgroup Othering
764,2023-04-01,43215,3866,0.08945967835242392,Outgroup Othering
764,2023-05-01,10,4,0.4,Outgroup Othering
764,2023-06-01,44064,3846,0.08728213507625272,Outgroup Othering
terrorgram,2020-07-01,22,10,0.45454545454545453,Outgroup Othering
terrorgram,2020-08-01,265,142,0.5358490566037736,Outgroup Othering
terrorgram,2020-09-01,174,71,0.40804597701149425,Outgroup Othering
terrorgram,2020-10-01,25,13,0.52,Outgroup Othering
