topic,label,n_dcm_pos,n_dcm_neg,prop_pos,prop_neg,log_odds,feature,category
8,Mental Health/Intelligence,15,1951,0.009645301804604853,0.02974756867168684,-1.1262764661606666,Existential Threat,terrorgram
9,Non-English (Spanish/Italian),100,1557,0.06253889234598631,0.02374165421785921,0.9685575733723244,Existential Threat,terrorgram
10,Saints/Martyrs,47,1675,0.02955818294959552,0.025540379866467487,0.14609990039803267,Existential Threat,terrorgram
11,Propaganda Documentary,47,1579,0.02955818294959552,0.024077009847260755,0.20510318733325789,Existential Threat,terrorgram
12,Propaganda Materials,2,1199,0.0015556938394523958,0.01828450352123411,-2.464132253870792,Existential Threat,terrorgram
13,Social Media/Antisemitism,14,539,0.009023024268823895,0.00822383463918783,0.09274296126314129,Existential Threat,terrorgram
14,Accelerationism,4,414,0.0028002489110143126,0.006318404926679065,-0.8137584812642734,Existential Threat,terrorgram
15,Gaming,0,317,3.1113876789047915e-4,0.004839791469772263,-2.7443879023578894,Existential Threat,terrorgram
16,Numbers/Nazi Numerology,5,213,0.003422526446795271,0.0032544739489649708,0.05034835610454826,Existential Threat,terrorgram
17,Infrastructure (Physical/Digital),1,150,9.334163036714375e-4,0.002294137373860553,-0.8992608795459638,Existential Threat,terrorgram
18,Subcultural Identity,0,55,3.1113876789047915e-4,8.460107923538916e-4,-1.0002931047775319,Existential Threat,terrorgram
0,Expletive Chat,152,61618,0.13939670932358317,0.3338652261311978,-0.8734135049178572,Existential Threat,white-supremacist
1,Antisemitism/Racism,689,34954,0.6302559414990859,0.18939266692313111,1.202303530638038,Existential Threat,white-supremacist
2,Firearms/Weapons,13,20342,0.012340036563071298,0.11022101093947259,-2.1896385589832446,Existential Threat,white-supremacist
3,Animals/Wehrwolf,30,10422,0.027879341864716637,0.05647184399737756,-0.7058561979984019,Existential Threat,white-supremacist
4,Religious Ideology,45,9875,0.041590493601462525,0.05350805424764712,-0.25196056729882343,Existential Threat,white-supremacist
5,Vaccines/Health,36,8697,0.03336380255941499,0.047125340673273335,-0.34533931829446707,Existential Threat,white-supremacist
6,Appearance/Aesthetics,19,7128,0.01782449725776965,0.038624086345435925,-0.7733023188811304,Existential Threat,white-supremacist
7,Demographics/Heritage,28,6176,0.026051188299817184,0.03346590016308971,-0.2504636315590793,Existential Threat,white-supremacist
8,Generational Conflict,35,4907,0.03244972577696526,0.02659012467422695,0.1991520984739381,Existential Threat,white-supremacist
9,Law Enforcement,24,4832,0.022394881170018283,0.02618375496448329,-0.1563067653886205,Existential Threat,white-supremacist
10,Fitness/Combat Sports,1,4899,0.0013711151736745886,0.026546778571854293,-2.963284001824525,Existential Threat,white-supremacist
11,Survival/Outdoors,6,3815,0.005941499085923218,0.02067338170035923,-1.2468854916849121,Existential Threat,white-supremacist
12,Age/Time Discussion,5,3765,0.005027422303473492,0.020402468560530122,-1.400748513159797,Existential Threat,white-supremacist
13,Education/Homeschool,5,1530,0.005027422303473492,0.008292651210168995,-0.5004623380038576,Existential Threat,white-supremacist
14,Technology/Devices,0,473,4.570383912248629e-4,0.0025655474341816525,-1.725159765042894,Existential Threat,white-supremacist
15,Non-English (Spanish/German),4,425,0.004113345521023766,0.002305470819945709,0.5789517769060294,Existential Threat,white-supremacist
16,Tactical Training/Slurs,0,423,4.570383912248629e-4,0.0022946342943525448,-1.6135613665088702,Existential Threat,white-supremacist
17,Accelerationism,1,184,0.0013711151736745886,9.996694859694085e-4,0.31595497277076656,Existential Threat,white-supremacist
18,Channel-Specific,0,95,4.570383912248629e-4,5.174440970735963e-4,-0.12413409990344568,Existential Threat,white-supremacist
0,Expletive Chat/CSAM,13620,145176,0.7723561100085058,0.7456956329679587,0.035128207814019936,Outgroup Othering,764
1,Platform Administration,779,15245,0.04420187127870712,0.07830814747850384,-0.5718845274160828,Outgroup Othering,764
2,Race/Ethnicity,1616,5798,0.09166430394102637,0.029783857082686993,1.1241664953779102,Outgroup Othering,764
3,Money/Banking,189,6491,0.010745676212078253,0.03334343506980471,-1.1323574426686467,Outgroup Othering,764
4,Extortion/Leaking,242,3416,0.013751063226538135,0.017548770841252066,-0.24386776323411472,Outgroup Othering,764
5,Media Sharing,93,3549,0.005301956336830167,0.018231922172113044,-1.2350981505756191,Outgroup Othering,764
6,Doxxing/Trolling,211,3240,0.01199319535015594,0.01664475103499995,-0.3277554787722577,Outgroup Othering,764
7,Religion,604,2301,0.034278423589452794,0.011821599909598019,1.0645877474067316,Outgroup Othering,764
8,Food/Drinks,58,2690,0.0033172667989793026,0.013819689140462077,-1.4269531340824833,Outgroup Othering,764
9,Gaming,57,2406,0.003260561383612135,0.01236092990764616,-1.332641300330679,Outgroup Othering,764
10,Time/Dates,10,1229,5.954068613552594e-4,0.006315297453335114,-2.3614851638835894,Outgroup Othering,764
11,Gore/Illegal Content,39,617,0.002239863907003119,0.003171774036140246,-0.34787595598587573,Outgroup Othering,764
12,Lore/Storytelling,12,625,7.088176920895946e-4,0.0032128658455153427,-1.51132024498953,Outgroup Othering,764
13,Subculture/Conspiracy,42,420,0.0024099801531046214,0.0021598882302785,0.1095620371265486,Outgroup Othering,764
14,Usernames/Players,3,392,0.00019846895378508649,0.0020160668974656625,-2.3182711281179147,Outgroup Othering,764
15,Statistics/Demographics,5,411,3.118797845194216e-4,0.0021136599447315165,-1.913558487269519,Outgroup Othering,764
16,Non-English (German/Dutch),40,331,0.0022965693223702863,0.0017027418509805534,0.29917660509575644,Outgroup Othering,764
17,OPSEC/OSINT,9,244,5.387014459880919e-4,0.001255868424026381,-0.8464210696992512,Outgroup Othering,764
18,Appearance Discussion,5,104,3.118797845194216e-4,5.367617599621956e-4,-0.5429365385572602,Outgroup Othering,764
0,Expletive Chat,4326,22344,0.2971293180413433,0.42429219755805786,-0.3562549047465283,Outgroup Othering,terrorgram
1,Antisemitism/Jews,4823,5210,0.33126158917656756,0.09894043256176063,1.2083903851314488,Outgroup Othering,terrorgram
2,White Nationalism/Russia-Ukraine,2986,4097,0.2051026715198132,0.0778060497882764,0.9692915015076987,Outgroup Othering,terrorgram
3,Media Sharing,63,3616,0.00436096421949042,0.06867250251599795,-2.7566556804373668,Outgroup Othering,terrorgram
4,Guns/Violence,192,2664,0.013220245862234737,0.05059529460911836,-1.3421091480556753,Outgroup Othering,terrorgram
5,Animals/Nature,292,2458,0.020087906050408624,0.04668362987296584,-0.8432756202267603,Outgroup Othering,terrorgram
6,Raw Diet/Health,119,2111,0.008206853924867797,0.040094563545563296,-1.5862711030491101,Outgroup Othering,terrorgram
7,Paganism/Satanism,449,1583,0.03087013254584163,0.030068549076201507,0.026309387886303198,Outgroup Othering,terrorgram
8,Mental Health/Intelligence,193,1774,0.013288922464116476,0.03369538385583806,-0.9304300596633918,Outgroup Othering,terrorgram
9,Non-English (Spanish/Italian),265,1392,0.018233637799601677,0.02644171429656495,-0.37167473116612265,Outgroup Othering,terrorgram
10,Saints/Martyrs,214,1508,0.014731131103632993,0.028644399293621708,-0.6649949202777213,Outgroup Othering,terrorgram
11,Propaganda Documentary,177,1452,0.012190096834008653,0.02758103412262879,-0.816504479857273,Outgroup Othering,terrorgram
12,Propaganda Materials,53,1149,0.0036741982006730308,0.0218274690010064,-1.7818342903479527,Outgroup Othering,terrorgram
13,Social Media/Antisemitism,343,210,0.02359041274637731,0.003997113723107305,1.7752678584932908,Outgroup Othering,terrorgram
14,Accelerationism,11,407,7.897809216399973e-4,0.007737880485350246,-2.28212749735839,Outgroup Othering,terrorgram
15,Gaming,6,311,4.463979122313028e-4,0.005914968763648102,-2.5840307613725937,Outgroup Othering,terrorgram
16,Numbers/Nazi Numerology,39,179,0.0027127257743286863,0.003408465146307654,-0.22830813606793451,Outgroup Othering,terrorgram
17,Infrastructure (Physical/Digital),4,147,3.09044708467825e-4,0.0028008279057402732,-2.2041843790502775,Outgroup Othering,terrorgram
18,Subcultural Identity,5,50,3.777213103495639e-4,9.589275202703985e-4,-0.9316588440895661,Outgroup Othering,terrorgram
0,Expletive Chat,9917,51861,0.27774666031870504,0.34582402560597475,-0.21922064477174089,Outgroup Othering,white-supremacist
1,Antisemitism/Racism,16119,19522,0.4514380933710477,0.13018037542093155,1.2435172582133756,Outgroup Othering,white-supremacist
2,Firearms/Weapons,1000,19357,0.028019716022068503,0.129080118694362,-1.5275248806967283,Outgroup Othering,white-supremacist
3,Animals/Wehrwolf,1861,8592,0.05213263505755174,0.05729670256393159,-0.0944519298708554,Outgroup Othering,white-supremacist
4,Religious Ideology,1356,8568,0.037989749908981435,0.057136665221885104,-0.4081296494615552,Outgroup Othering,white-supremacist
5,Vaccines/Health,891,7842,0.024967093287030555,0.05229553562497916,-0.739352317221276,Outgroup Othering,white-supremacist
6,Appearance/Aesthetics,1033,6114,0.028943904556529534,0.04077284699763278,-0.34265671396723957,Outgroup Othering,white-supremacist
7,Demographics/Heritage,814,5390,0.02281065337328815,0.03594505384589738,-0.45476381039671077,Outgroup Othering,white-supremacist
8,Generational Conflict,783,4159,0.021942476265158092,0.027736471843430133,-0.23432390638750475,Outgroup Othering,white-supremacist
9,Law Enforcement,875,3983,0.02451900187638278,0.026562864668422632,-0.0800657715541522,Outgroup Othering,white-supremacist
10,Fitness/Combat Sports,277,4623,0.007771585403422298,0.030830527122995367,-1.3780311542908419,Outgroup Othering,white-supremacist
11,Survival/Outdoors,257,3564,0.007211471140112583,0.023768879405194544,-1.1927041649135302,Outgroup Othering,white-supremacist
12,Age/Time Discussion,139,3631,0.003906796986585264,0.02421565031840763,-1.8242812782444404,Outgroup Othering,white-supremacist
13,Education/Homeschool,88,1447,0.00247850561514549,0.009652252192178174,-1.3595354718929042,Outgroup Othering,white-supremacist
14,Technology/Devices,25,449,7.141456857198868e-4,0.0029973660520788183,-1.4344022162069325,Outgroup Othering,white-supremacist
15,Non-English (Spanish/German),82,348,0.002310471336152575,0.0023238755709665587,-0.0057847513195812,Outgroup Othering,white-supremacist
16,Tactical Training/Slurs,167,256,0.0046909569552188645,0.0017103990931217285,1.008909872194659,Outgroup Othering,white-supremacist
17,Accelerationism,7,178,2.100428487411432e-4,0.0011902777314706766,-1.734630395137067,Outgroup Othering,white-supremacist
18,Channel-Specific,15,80,4.3408855406502927e-4,5.367919181142267e-4,-0.21236197495895476,Outgroup Othering,white-supremacist
